Temporada,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2021-22,Chelsea,4–5(t. s.),Real Madrid,1–3,3–2
2021-22,Manchester City,1–0,Atlético de Madrid,1–0,0–0
2021-22,Villarreal,2–1,Bayern Múnich,1–0,1–1
2021-22,Benfica,4–6,Liverpool,1–3,3–3
2020-21,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2020-21,Manchester City,4–2,Borussia Dortmund,2–1,2–1
2020-21,Porto,1–2,Chelsea,0–2,1–0
2020-21,Bayern Múnich,3–3(v.),París Saint-Germain,2–3,1–0
2020-21,Real Madrid,3–1,Liverpool,3–1,0–0
2019-20,Equipo 1,Resultado,Equipo 2
2019-20,Manchester City,1–3,Olympique de Lyon
2019-20,Leipzig,2–1,Atlético de Madrid
2019-20,Barcelona,2–8,Bayern Múnich
2019-20,Atalanta,1–2,París Saint-Germain
2018-19,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2018-19,Ajax,3–2,Juventus,1–1,2–1
2018-19,Liverpool,6–1,Porto,2–0,4–1
2018-19,Tottenham Hotspur,4–4(v.),Manchester City,1–0,3–4
2018-19,Manchester United,0–4,Barcelona,0–1,0–3
2017-18,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2017-18,Sevilla,1–2,Bayern Múnich,1–2,0–0
2017-18,Juventus,3–4,Real Madrid,0–3,3–1
2017-18,Liverpool,5–1,Manchester City,3–0,2–1
2017-18,Barcelona,4–4(v),Roma,4–1,0–3
