Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2023-2024,beAntwerp,20,25.2,43.2,6,66,540,6.0,6,4,10,6,0,1,15,2
2023-2024,engArsenal,22,25.9,57.1,8,88,750,8.3,17,14,31,16,1,1,10,0
2023-2024,esAtlético Madrid,22,30.0,51.1,8,88,750,8.3,17,10,27,17,0,1,20,1
2023-2024,esBarcelona,25,27.2,58.5,8,88,720,8.0,15,15,30,15,0,0,21,1
2023-2024,deBayern Munich,23,28.2,58.4,8,88,720,8.0,15,12,27,14,1,1,9,1
2023-2024,ptBenfica,22,27.0,49.0,6,66,540,6.0,7,4,11,7,0,0,9,2
2023-2024,ptBraga,23,28.4,53.2,6,66,540,6.0,6,6,12,6,0,1,10,1
2023-2024,sctCeltic,23,27.0,47.2,6,66,540,6.0,5,4,9,4,1,1,16,3
2023-2024,deDortmund,23,28.1,44.6,8,88,720,8.0,10,9,19,9,1,1,13,0
2023-2024,dkFC Copenhagen,24,27.7,38.8,8,88,720,8.0,10,6,16,9,1,2,18,2
2023-2024,nlFeyenoord,24,24.8,54.5,6,66,540,6.0,8,5,13,8,0,1,14,0
2023-2024,trGalatasaray,20,29.2,53.2,6,66,540,6.0,10,6,16,9,1,2,12,0
2023-2024,itInter,22,29.7,52.5,8,88,750,8.3,10,6,16,7,3,3,17,0
2023-2024,itLazio,21,29.5,44.0,8,88,720,8.0,8,5,13,6,2,2,24,0
2023-2024,frLens,20,27.9,44.2,6,66,540,6.0,6,4,10,5,1,1,25,1
2023-2024,engManchester City,25,26.5,71.0,8,88,720,8.0,24,18,42,21,3,3,5,0
2023-2024,engManchester Utd,24,27.0,46.3,6,66,540,6.0,12,9,21,11,1,1,13,2
2023-2024,itMilan,23,27.1,43.7,6,66,540,6.0,5,5,10,5,0,1,17,0
2023-2024,itNapoli,23,27.8,53.5,8,88,720,8.0,10,5,15,9,1,1,14,0
2023-2024,engNewcastle Utd,23,28.3,45.5,6,66,540,6.0,6,5,11,6,0,0,11,0
2023-2024,frParis S-G,21,25.3,64.9,8,88,720,8.0,13,9,22,11,2,2,21,0
2023-2024,ptPorto,25,27.1,47.9,8,88,750,8.3,16,12,28,15,1,1,15,0
2023-2024,nlPSV Eindhoven,22,26.3,51.8,8,88,720,8.0,8,5,13,6,2,2,13,0
2023-2024,deRB Leipzig,23,26.3,46.5,8,88,720,8.0,14,13,27,14,0,0,18,0
2023-2024,atRB Salzburg,23,23.0,43.0,6,66,540,6.0,4,3,7,3,1,2,16,0
2023-2024,esReal Madrid,21,28.2,56.9,8,88,720,8.0,17,15,32,17,0,1,14,0
2023-2024,esReal Sociedad,26,26.6,52.3,8,88,720,8.0,8,5,13,8,0,1,18,0
2023-2024,rsRed Star,22,27.2,40.7,6,66,540,6.0,6,5,11,6,0,0,21,0
2023-2024,esSevilla,24,30.5,48.8,6,66,540,6.0,7,6,13,6,1,1,16,2
2023-2024,uaShakhtar,21,25.6,44.3,6,66,540,6.0,9,7,16,9,0,0,15,0
2023-2024,deUnion Berlin,21,29.2,33.8,6,66,540,6.0,6,4,10,6,0,0,16,0
2023-2024,chYoung Boys,23,26.4,43.3,6,66,540,6.0,6,5,11,5,1,1,15,1
2022-2023,nlAjax,19,26.4,53.2,6,66,540,6.0,11,9,20,10,1,1,15,1
2022-2023,esAtlético Madrid,22,28.6,56.5,6,66,540,6.0,4,3,7,4,0,2,11,0
2022-2023,esBarcelona,26,26.4,64.8,6,66,540,6.0,12,10,22,12,0,0,9,0
2022-2023,deBayern Munich,24,26.6,56.1,10,110,900,10.0,21,19,40,20,1,1,20,1
2022-2023,ptBenfica,24,26.0,52.9,10,110,900,10.0,25,16,41,20,5,5,19,0
2022-2023,sctCeltic,22,26.0,44.2,6,66,540,6.0,3,1,4,3,0,1,7,0
2022-2023,engChelsea,26,26.9,57.3,10,110,900,10.0,12,7,19,10,2,2,24,1
