Season,Squad,Country,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2023-2024,Antwerp,Belgium,20,25.2,6,66,6,4,10,6,0,1,15.0,2.0
2023-2024,Arsenal,England,22,25.9,8,88,17,14,31,16,1,1,10.0,0.0
2023-2024,Atlético Madrid,Spain,22,30.0,8,88,17,10,27,17,0,1,20.0,1.0
2023-2024,Barcelona,Spain,25,27.2,8,88,15,15,30,15,0,0,21.0,1.0
2023-2024,Bayern Munich,Germany,23,28.2,8,88,15,12,27,14,1,1,9.0,1.0
2023-2024,Benfica,Portugal,22,27.0,6,66,7,4,11,7,0,0,9.0,2.0
2023-2024,Braga,Portugal,23,28.4,6,66,6,6,12,6,0,1,10.0,1.0
2023-2024,Celtic,Scotland,23,27.0,6,66,5,4,9,4,1,1,16.0,3.0
2023-2024,Dortmund,Germany,23,28.1,8,88,10,9,19,9,1,1,13.0,0.0
2023-2024,FC Copenhagen,Denmark,24,27.7,8,88,10,6,16,9,1,2,18.0,2.0
2023-2024,Feyenoord,The Netherlands,24,24.8,6,66,8,5,13,8,0,1,14.0,0.0
2023-2024,Galatasaray,Türkiye,20,29.2,6,66,10,6,16,9,1,2,12.0,0.0
2023-2024,Inter,Italy,22,29.7,8,88,10,6,16,7,3,3,17.0,0.0
2023-2024,Lazio,Italy,21,29.5,8,88,8,5,13,6,2,2,24.0,0.0
2023-2024,Lens,France,20,27.9,6,66,6,4,10,5,1,1,25.0,1.0
2023-2024,Manchester City,England,25,26.5,8,88,24,18,42,21,3,3,5.0,0.0
2023-2024,Manchester Utd,England,24,27.0,6,66,12,9,21,11,1,1,13.0,2.0
2023-2024,Milan,Italy,23,27.1,6,66,5,5,10,5,0,1,17.0,0.0
2023-2024,Napoli,Italy,23,27.8,8,88,10,5,15,9,1,1,14.0,0.0
2023-2024,Newcastle Utd,England,23,28.3,6,66,6,5,11,6,0,0,11.0,0.0
2023-2024,Paris S-G,France,21,25.3,8,88,13,9,22,11,2,2,21.0,0.0
2023-2024,Porto,Portugal,25,27.1,8,88,16,12,28,15,1,1,15.0,0.0
2023-2024,PSV Eindhoven,The Netherlands,22,26.3,8,88,8,5,13,6,2,2,13.0,0.0
2023-2024,RB Leipzig,Germany,23,26.3,8,88,14,13,27,14,0,0,18.0,0.0
2023-2024,RB Salzburg,Austria,23,23.0,6,66,4,3,7,3,1,2,16.0,0.0
2023-2024,Real Madrid,Spain,21,28.2,8,88,17,15,32,17,0,1,14.0,0.0
2023-2024,Real Sociedad,Spain,26,26.6,8,88,8,5,13,8,0,1,18.0,0.0
2023-2024,Red Star,Serbia,22,27.2,6,66,6,5,11,6,0,0,21.0,0.0
2023-2024,Sevilla,Spain,24,30.5,6,66,7,6,13,6,1,1,16.0,2.0
2023-2024,Shakhtar,Ukraine,21,25.6,6,66,9,7,16,9,0,0,15.0,0.0
2023-2024,Union Berlin,Germany,21,29.2,6,66,6,4,10,6,0,0,16.0,0.0
2023-2024,Young Boys,Switzerland,23,26.4,6,66,6,5,11,5,1,1,15.0,1.0
2022-2023,Ajax,The Netherlands,19,26.4,6,66,11,9,20,10,1,1,15.0,1.0
2022-2023,Atlético Madrid,Spain,22,28.6,6,66,4,3,7,4,0,2,11.0,0.0
2022-2023,Barcelona,Spain,26,26.4,6,66,12,10,22,12,0,0,9.0,0.0
2022-2023,Bayern Munich,Germany,24,26.6,10,110,21,19,40,20,1,1,20.0,1.0
2022-2023,Benfica,Portugal,24,26.0,10,110,25,16,41,20,5,5,19.0,0.0
2022-2023,Celtic,Scotland,22,26.0,6,66,3,1,4,3,0,1,7.0,0.0
2022-2023,Chelsea,England,26,26.9,10,110,12,7,19,10,2,2,24.0,1.0
2022-2023,Club Brugge,Belgium,25,26.3,8,88,8,7,15,7,1,2,27.0,1.0
2022-2023,Dinamo Zagreb,Croatia,20,26.9,6,66,4,2,6,4,0,0,13.0,0.0
2022-2023,Dortmund,Germany,26,26.0,8,88,11,10,21,11,0,0,17.0,0.0
2022-2023,Eint Frankfurt,Germany,22,26.1,8,88,7,5,12,6,1,1,18.0,2.0
2022-2023,FC Copenhagen,Denmark,25,24.6,6,66,1,1,2,1,0,0,12.0,1.0
2022-2023,Inter,Italy,22,28.5,13,143,19,17,36,18,1,1,25.0,0.0
2022-2023,Juventus,Italy,26,28.3,6,66,9,8,17,9,0,0,14.0,0.0
2022-2023,Leverkusen,Germany,20,24.8,6,66,4,4,8,4,0,2,18.0,1.0
2022-2023,Liverpool,England,25,27.5,8,88,19,15,34,18,1,1,10.0,0.0
2022-2023,Maccabi Haifa,Israel,20,28.1,6,66,7,6,13,6,1,1,14.0,0.0
2022-2023,Manchester City,England,23,27.1,13,143,31,23,54,29,2,5,21.0,1.0
2022-2023,Marseille,France,19,27.0,6,66,8,6,14,7,1,1,10.0,1.0
2022-2023,Milan,Italy,23,26.3,12,132,14,9,23,12,2,3,28.0,1.0
2022-2023,Napoli,Italy,22,26.4,10,110,26,20,46,22,4,8,19.0,1.0
2022-2023,Paris S-G,France,21,27.5,8,88,15,12,27,14,1,1,14.0,0.0
2022-2023,Porto,Portugal,24,26.8,8,88,12,7,19,9,3,3,22.0,3.0
2022-2023,Rangers,Scotland,22,28.3,6,66,2,1,3,1,1,1,10.0,1.0
2022-2023,RB Leipzig,Germany,22,26.1,8,88,13,12,25,13,0,0,8.0,0.0
2022-2023,RB Salzburg,Austria,19,22.5,6,66,5,3,8,4,1,1,11.0,0.0
2022-2023,Real Madrid,Spain,22,27.8,12,132,26,21,47,23,3,3,14.0,0.0
2022-2023,Sevilla,Spain,24,28.8,6,66,6,5,11,6,0,0,12.0,0.0
2022-2023,Shakhtar,Ukraine,20,24.3,6,66,8,7,15,8,0,0,15.0,0.0
2022-2023,Sporting CP,Portugal,25,25.3,6,66,8,5,13,8,0,0,17.0,3.0
2022-2023,Tottenham,England,25,27.8,8,88,8,7,15,7,1,2,20.0,1.0
2022-2023,Viktoria Plzeň,Czech Republic,22,28.1,6,66,5,4,9,4,1,1,12.0,1.0
2021-2022,Ajax,The Netherlands,21,26.0,8,88,21,16,37,20,1,1,15.0,0.0
2021-2022,Atalanta,Italy,21,28.2,6,66,12,11,23,12,0,0,9.0,0.0
2021-2022,Atlético Madrid,Spain,22,27.9,10,110,9,8,17,8,1,1,24.0,4.0
2021-2022,Barcelona,Spain,23,25.9,6,66,2,1,3,2,0,0,13.0,1.0
2021-2022,Bayern Munich,Germany,24,26.9,10,110,30,23,53,27,3,4,12.0,0.0
2021-2022,Benfica,Portugal,24,27.7,10,110,13,10,23,12,1,1,20.0,0.0
