Temporada,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2023-24,Porto,–,Arsenal,–,–
2023-24,Napoli,–,Barcelona,–,–
2023-24,París Saint-Germain,–,Real Sociedad,2–0,–
2023-24,Inter de Milán,–,Atlético de Madrid,–,–
2023-24,PSV Eindhoven,–,Borussia Dortmund,–,–
2023-24,Lazio,–,Bayern Múnich,1–0,–
2023-24,Copenhague,–,Manchester City,1–3,–
2023-24,Leipzig,–,Real Madrid,0–1,–
2021-22,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2021-22,Salzburgo,2–8,Bayern Múnich,1–1,1–7
2021-22,Sporting de Portugal,0–5,Manchester City,0–5,0–0
2021-22,Benfica,3–2,Ajax,2–2,1–0
2021-22,Chelsea,4–1,Lille,2–0,2–1
2021-22,Atlético de Madrid,2–1,Manchester United,1–1,1–0
2021-22,Villarreal,4–1,Juventus,1–1,3–0
2021-22,Inter de Milán,1–2,Liverpool,0–2,1–0
2021-22,París Saint-Germain,2–3,Real Madrid,1–0,1–3
2020-21,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2020-21,Borussia Mönchengladbach,0–4,Manchester City,0–2,0–2
2020-21,Lazio,2–6,Bayern Múnich,1–4,1–2
2020-21,Atlético de Madrid,0–3,Chelsea,0–1,0–2
2020-21,Leipzig,0–4,Liverpool,0–2,0–2
2020-21,Porto,4–4(v.)(t. s.),Juventus,2–1,2–3
2020-21,Barcelona,2–5,París Saint-Germain,1–4,1–1
2020-21,Sevilla,4–5,Borussia Dortmund,2–3,2–2
2020-21,Atalanta,1–4,Real Madrid,0–1,1–3
2019-20,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2019-20,Borussia Dortmund,2–3,París Saint-Germain,2–1,0–2
2019-20,Real Madrid,2–4,Manchester City,1–2,1–2
2019-20,Atalanta,8–4,Valencia,4–1,4–3
2019-20,Atlético de Madrid,4–2(t. s.),Liverpool,1–0,3–2
2019-20,Chelsea,1–7,Bayern Múnich,0–3,1–4
2019-20,Olympique de Lyon,2–2(v.),Juventus,1–0,1–2
2019-20,Tottenham Hotspur,0–4,Leipzig,0–1,0–3
2019-20,Napoli,2–4,Barcelona,1–1,1–3
2018-19,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2018-19,Schalke 04,2–10,Manchester City,2–3,0–7
2018-19,Atlético de Madrid,2–3,Juventus,2–0,0–3
2018-19,Manchester United,3–3(v.),París Saint-Germain,0–2,3–1
2018-19,Tottenham Hotspur,4–0,Borussia Dortmund,3–0,1–0
2018-19,Olympique de Lyon,1–5,Barcelona,0–0,1–5
2018-19,Roma,3–4(t. s.),Porto,2–1,1–3
2018-19,Ajax,5–3,Real Madrid,1–2,4–1
2018-19,Liverpool,3–1,Bayern Múnich,0–0,3–1
2017-18,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2017-18,Sevilla,2–1,Manchester United,0–0,2–1
2017-18,Bayern Múnich,8–1,Beşiktaş,5–0,3–1
2017-18,Juventus,4–3,Tottenham Hotspur,2–2,2–1
2017-18,Real Madrid,5–2,París Saint-Germain,3–1,2–1
2017-18,Porto,0–5,Liverpool,0–5,0–0
2017-18,Basilea,2–5,Manchester City,0–4,2–1
2017-18,Chelsea,1–4,Barcelona,1–1,0–3
2017-18,Shakhtar Donetsk,2–2(v.),Roma,2–1,0–1
