Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
2022-2023,1,engManchester City,13,8,5,0,32,5,+27,29,"63,639",Erling Haaland-12,Ederson
2022-2023,2,itInter,13,7,3,3,19,11,+8,24,"71,415",Edin Džeko-4,André Onana
2022-2023,SF,esReal Madrid,12,8,2,2,26,13,+13,26,"58,761",Vinicius Júnior-7,Thibaut Courtois
2022-2023,SF,itMilan,12,5,3,4,15,11,+4,18,"72,546",Olivier Giroud-5,Mike Maignan
2022-2023,QF,deBayern Munich,10,8,1,1,22,6,+16,25,"75,000","Leroy Sané,Eric Maxim Choupo-Moting-4",Yann Sommer
2022-2023,QF,itNapoli,10,7,1,2,26,8,+18,22,"49,133",Victor Osimhen-5,Alex Meret
2022-2023,QF,ptBenfica,10,6,3,1,26,13,+13,21,"60,222",João Mário-6,Odisseas Vlachodimos
2022-2023,QF,engChelsea,10,5,1,4,12,9,+3,16,"39,216",Raheem Sterling-3,Kepa Arrizabalaga
2022-2023,R16,engLiverpool,8,5,0,3,19,12,+7,15,"51,578",Mohamed Salah-8,Alisson
2022-2023,R16,frParis S-G,8,4,2,2,16,10,+6,14,"46,680",Kylian Mbappé-7,Gianluigi Donnarumma
2022-2023,R16,ptPorto,8,4,1,3,12,8,+4,13,"44,296",Mehdi Taremi-5,Diogo Costa
2022-2023,R16,deRB Leipzig,8,4,1,3,14,17,-3,13,"44,319","André Silva,Christopher Nkunku-3",Janis Blaswich
2022-2023,R16,deDortmund,8,3,3,2,11,7,+4,12,"78,516",Jude Bellingham-4,Alexander Meyer
2022-2023,R16,engTottenham,8,3,3,2,8,7,+1,12,"58,434","Son Heung-min,Richarlison-2",Hugo Lloris
2022-2023,R16,beClub Brugge,8,3,2,3,8,11,-3,11,"24,296","Kamal Sowah,Jutglà-2",Simon Mignolet
2022-2023,R16,deEint Frankfurt,8,3,1,4,7,13,-6,10,"49,300",Daichi Kamada-3,Kevin Trapp
2022-2023,GR,esBarcelona,6,2,1,3,12,12,0,7,"84,576",Robert Lewandowski-5,Marc-André ter Stegen
