Season,Rk,Squad,Country,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Top Team Scorer Goals
2023-2024,SF,Real Madrid,Spain,10.0,7.0,3.0,0.0,22.0,12.0,10.0,24.0,72017.0,Rodrygo,Andriy Lunin,5.0
2023-2024,SF,Bayern Munich,Germany,10.0,7.0,2.0,1.0,18.0,9.0,9.0,23.0,60000.0,Harry Kane,Manuel Neuer,7.0
2023-2024,SF,Dortmund,Germany,10.0,5.0,3.0,2.0,15.0,9.0,6.0,18.0,65092.0,"Marco Reus,Julian Brandt... ",Gregor Kobel,2.0
2023-2024,SF,Paris S-G,France,10.0,5.0,2.0,3.0,19.0,13.0,6.0,17.0,46736.0,Kylian Mbappé,Gianluigi Donnarumma,8.0
2023-2024,QF,Manchester City,England,10.0,8.0,2.0,0.0,28.0,13.0,15.0,26.0,40837.0,Erling Haaland,Ederson,6.0
2023-2024,QF,Atlético Madrid,Spain,10.0,6.0,2.0,2.0,23.0,13.0,10.0,20.0,64803.0,Antoine Griezmann,Jan Oblak,6.0
2023-2024,QF,Barcelona,Spain,10.0,6.0,1.0,3.0,20.0,14.0,6.0,19.0,45308.0,"Robert Lewandowski,Ferrán Torres... ",Marc-André ter Stegen,3.0
2023-2024,QF,Arsenal,England,10.0,5.0,2.0,3.0,19.0,8.0,11.0,17.0,59870.0,"Leandro Trossard,Gabriel Jesus... ",David Raya,4.0
2023-2024,R16,Porto,Portugal,8.0,5.0,0.0,3.0,16.0,9.0,7.0,15.0,47944.0,Galeno,Diogo Costa,5.0
2023-2024,R16,Inter,Italy,8.0,4.0,3.0,1.0,10.0,7.0,3.0,15.0,70279.0,"Alexis Sánchez,Marko Arnautović... ",Yann Sommer,2.0
2023-2024,R16,RB Leipzig,Germany,8.0,4.0,1.0,3.0,14.0,12.0,2.0,13.0,43949.0,Loïs Openda,Janis Blaswich,4.0
2023-2024,R16,Lazio,Italy,8.0,4.0,1.0,3.0,8.0,10.0,-2.0,13.0,47701.0,Ciro Immobile,Ivan Provedel,4.0
2023-2024,R16,Real Sociedad,Spain,8.0,3.0,3.0,2.0,8.0,6.0,2.0,12.0,36790.0,Brais Méndez,Álex Remiro,3.0
2023-2024,R16,Napoli,Italy,8.0,3.0,2.0,3.0,12.0,13.0,-1.0,11.0,45367.0,Victor Osimhen,Alex Meret,2.0
2023-2024,R16,PSV Eindhoven,The Netherlands,8.0,2.0,4.0,2.0,9.0,13.0,-4.0,10.0,34589.0,Luuk de Jong,Walter Benítez,3.0
2023-2024,R16,FC Copenhagen,Denmark,8.0,2.0,2.0,4.0,10.0,14.0,-4.0,8.0,35592.0,"Mohamed Elyounoussi,Lukas Lerager",Kamil Grabara,3.0
