Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2022-2023,Round of 16,Tue,2023-02-14,21:00,Milanit,1–0,engTottenham,"74,320",Stadio Giuseppe Meazza,Sandro Schärer,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-02-14,21:00,Paris S-Gfr,0–1,deBayern Munich,"46,435",Parc des Princes,Michael Oliver,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-15,21:00,Club Bruggebe,0–2,ptBenfica,"24,136",Jan Breydelstadion,Davide Massa,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-15,21:00,Dortmundde,1–0,engChelsea,"81,365",Signal Iduna Park,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-02-21,20:00,Liverpooleng,2–5,esReal Madrid,"52,337",Anfield,István Kovács,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-02-21,21:00,Eint Frankfurtde,0–2,itNapoli,"47,500",Deutsche Bank Park,Artur Dias,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-22,21:00,Interit,1–0,ptPorto,"75,374",Stadio Giuseppe Meazza,Srđan Jovanović,Match Report,Leg 1 of 2
2022-2023,Round of 16,Wed,2023-02-22,21:00,RB Leipzigde,1–1,engManchester City,"45,228",Red Bull Arena,Serdar Gözübüyük,Match Report,Leg 1 of 2
2022-2023,Round of 16,Tue,2023-03-07,20:00,Benficapt,5–1,beClub Brugge,"60,960",Estádio do Sport Lisboa e Benfica,Halil Umut Meler,Match Report,Leg 2 of 2; Benfica won
2022-2023,Round of 16,Tue,2023-03-07,20:00,Chelseaeng,2–0,deDortmund,"38,882",Stamford Bridge,Danny Makkelie,Match Report,Leg 2 of 2; Chelsea won
2022-2023,Round of 16,Wed,2023-03-08,20:00,Tottenhameng,0–0,itMilan,"61,602",Tottenham Hotspur Stadium,Clément Turpin,Match Report,Leg 2 of 2; Milan won
2022-2023,Round of 16,Wed,2023-03-08,21:00,Bayern Munichde,2–0,frParis S-G,"75,000",Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Bayern Munich won
2022-2023,Round of 16,Tue,2023-03-14,20:00,Portopt,0–0,itInter,"48,015",Estádio Do Dragão,Szymon Marciniak,Match Report,Leg 2 of 2; Inter won
2022-2023,Round of 16,Tue,2023-03-14,20:00,Manchester Cityeng,7–0,deRB Leipzig,"52,038",Etihad Stadium,Slavko Vinčič,Match Report,Leg 2 of 2; Manchester City won
2022-2023,Round of 16,Wed,2023-03-15,21:00,Real Madrides,1–0,engLiverpool,"63,127",Estadio Santiago Bernabéu,Felix Zwayer,Match Report,Leg 2 of 2; Real Madrid won
2022-2023,Round of 16,Wed,2023-03-15,21:00,Napoliit,3–0,deEint Frankfurt,"49,082",Stadio Diego Armando Maradona,Anthony Taylor,Match Report,Leg 2 of 2; Napoli won
2022-2023,Quarter-finals,Tue,2023-04-11,20:00,Benficapt,0–2,itInter,"62,594",Estádio da Luz (1954),Michael Oliver,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Tue,2023-04-11,20:00,Manchester Cityeng,3–0,deBayern Munich,"52,257",Etihad Stadium,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Wed,2023-04-12,21:00,Milanit,1–0,itNapoli,"74,742",Stadio Giuseppe Meazza,István Kovács,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Wed,2023-04-12,21:00,Real Madrides,2–0,engChelsea,"63,142",Estadio Santiago Bernabéu,François Letexier,Match Report,Leg 1 of 2
2022-2023,Quarter-finals,Tue,2023-04-18,20:00,Chelseaeng,0–2,esReal Madrid,"39,453",Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won
2022-2023,Quarter-finals,Tue,2023-04-18,21:00,Napoliit,1–1,itMilan,"52,728",Stadio Diego Armando Maradona,Szymon Marciniak,Match Report,Leg 2 of 2; Milan won
2022-2023,Quarter-finals,Wed,2023-04-19,21:00,Interit,3–3,ptBenfica,"75,380",Stadio Giuseppe Meazza,Carlos del Cerro,Match Report,Leg 2 of 2; Inter won
2022-2023,Quarter-finals,Wed,2023-04-19,21:00,Bayern Munichde,1–1,engManchester City,"75,000",Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2022-2023,Semi-finals,Tue,2023-05-09,21:00,Real Madrides,1–1,engManchester City,"63,485",Estadio Santiago Bernabéu,Artur Dias,Match Report,Leg 1 of 2
2022-2023,Semi-finals,Wed,2023-05-10,21:00,Milanit,0–2,itInter,"75,532",Stadio Giuseppe Meazza,Jesús Gil,Match Report,Leg 1 of 2
2022-2023,Semi-finals,Tue,2023-05-16,21:00,Interit,1–0,itMilan,"75,567",Stadio Giuseppe Meazza,Clément Turpin,Match Report,Leg 2 of 2; Inter won
2022-2023,Semi-finals,Wed,2023-05-17,20:00,Manchester Cityeng,4–0,esReal Madrid,"52,313",Etihad Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Manchester City won
2022-2023,Final,Sat,2023-06-10,22:00,Manchester Cityeng,1–0,itInter,"71,412",Atatürk Olimpiyat Stadı (Neutral Site),Szymon Marciniak,Match Report
2021-2022,Round of 16,Tue,2022-02-15,20:00,Sporting CPpt,0–5,engManchester City,"48,129",Estádio José Alvalade,Srdjan Stojanovic,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-15,21:00,Paris S-Gfr,1–0,esReal Madrid,"47,443",Parc des Princes,Daniele Orsato,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-16,21:00,Interit,0–2,engLiverpool,"37,918",Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-16,21:00,RB Salzburgat,1–1,deBayern Munich,"29,520",Red Bull Arena,Michael Oliver,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-22,20:00,Chelseaeng,2–0,frLille,"38,832",Stamford Bridge,Jesús Gil,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-22,21:00,Villarreales,1–1,itJuventus,"17,686",Estadio de la Cerámica,Daniel Siebert,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-23,20:00,Benficapt,2–2,nlAjax,"54,760",Estádio do Sport Lisboa e Benfica,Slavko Vinčič,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-23,21:00,Atlético Madrides,1–1,engManchester Utd,"63,273",Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-03-08,20:00,Liverpooleng,0–1,itInter,"51,747",Anfield,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won
2021-2022,Round of 16,Tue,2022-03-08,21:00,Bayern Munichde,7–1,atRB Salzburg,"25,000",Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Bayern Munich won
2021-2022,Round of 16,Wed,2022-03-09,20:00,Manchester Cityeng,0–0,ptSporting CP,"51,213",Etihad Stadium,Halil Umut Meler,Match Report,Leg 2 of 2; Manchester City won
2021-2022,Round of 16,Wed,2022-03-09,21:00,Real Madrides,3–1,frParis S-G,"59,895",Estadio Santiago Bernabéu,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2021-2022,Round of 16,Tue,2022-03-15,20:00,Manchester Utdeng,0–1,esAtlético Madrid,"73,008",Old Trafford,Slavko Vinčič,Match Report,Leg 2 of 2; Atlético Madrid won
2021-2022,Round of 16,Tue,2022-03-15,21:00,Ajaxnl,0–1,ptBenfica,"54,066",Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 2 of 2; Benfica won
2021-2022,Round of 16,Wed,2022-03-16,21:00,Juventusit,0–3,esVillarreal,"30,385",Allianz Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Villarreal won
2021-2022,Round of 16,Wed,2022-03-16,21:00,Lillefr,1–2,engChelsea,"49,048",Stade Pierre-Mauroy,Davide Massa,Match Report,Leg 2 of 2; Chelsea won
2021-2022,Quarter-finals,Tue,2022-04-05,20:00,Manchester Cityeng,1–0,esAtlético Madrid,"52,018",Etihad Stadium,István Kovács,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Tue,2022-04-05,20:00,Benficapt,1–3,engLiverpool,"59,633",Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Wed,2022-04-06,20:00,Chelseaeng,1–3,esReal Madrid,"38,689",Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Wed,2022-04-06,21:00,Villarreales,1–0,deBayern Munich,"21,626",Estadio de la Cerámica,Anthony Taylor,Match Report,Leg 1 of 2
2021-2022,Quarter-finals,Tue,2022-04-12,21:00,Real Madrides,2–3,engChelsea,"59,839",Estadio Santiago Bernabéu,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2021-2022,Quarter-finals,Tue,2022-04-12,21:00,Bayern Munichde,1–1,esVillarreal,"70,000",Allianz Arena,Slavko Vinčič,Match Report,Leg 2 of 2; Villarreal won
2021-2022,Quarter-finals,Wed,2022-04-13,20:00,Liverpooleng,3–3,ptBenfica,"51,373",Anfield,Serdar Gözübüyük,Match Report,Leg 2 of 2; Liverpool won
2021-2022,Quarter-finals,Wed,2022-04-13,21:00,Atlético Madrides,0–0,engManchester City,"65,675",Estadio Wanda Metropolitano,Daniel Siebert,Match Report,Leg 2 of 2; Manchester City won
2021-2022,Semi-finals,Tue,2022-04-26,20:00,Manchester Cityeng,4–3,esReal Madrid,"52,217",Etihad Stadium,István Kovács,Match Report,Leg 1 of 2
2021-2022,Semi-finals,Wed,2022-04-27,20:00,Liverpooleng,2–0,esVillarreal,"51,586",Anfield,Szymon Marciniak,Match Report,Leg 1 of 2
2021-2022,Semi-finals,Tue,2022-05-03,21:00,Villarreales,2–3,engLiverpool,"23,665",Estadio de la Cerámica,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
2021-2022,Semi-finals,Wed,2022-05-04,21:00,Real Madrides,3–1,engManchester City,"61,416",Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2021-2022,Final,Sat,2022-05-28,21:30,Liverpooleng,0–1,esReal Madrid,"75,000",Stade de France (Neutral Site),Clément Turpin,Match Report
2020-2021,Round of 16,Tue,2021-02-16,21:00,RB Leipzigde,0–2,engLiverpool,Puskás Aréna (Neutral Site),Slavko Vinčič,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-02-16,21:00,Barcelonaes,1–4,frParis S-G,Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-17,20:00,Portopt,2–1,itJuventus,Estádio Do Dragão,Carlos del Cerro,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-17,21:00,Sevillaes,2–3,deDortmund,Estadio Ramón Sánchez Pizjuán,Danny Makkelie,Match Report,Leg 1 of 2
