Temporada,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2021-22,Manchester City,5–6(t. s.),Real Madrid,4–3,1–3
2021-22,Liverpool,5–2,Villarreal,2–0,3–2
2020-21,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2020-21,París Saint-Germain,1–4,Manchester City,1–2,0–2
2020-21,Real Madrid,1–3,Chelsea,1–1,0–2
2019-20,Equipo 1,Resultado,Equipo 2
2019-20,Leipzig,0–3,París Saint-Germain
2019-20,Olympique de Lyon,0–3,Bayern Múnich
2018-19,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2018-19,Tottenham Hotspur,3–3(v.),Ajax,0–1,3–2
2018-19,Barcelona,3–4,Liverpool,3–0,0–4
2017-18,Equipo 1,Agr.,Equipo 2,Ida,Vuelta
2017-18,Bayern Múnich,3–4,Real Madrid,1–2,2–2
2017-18,Liverpool,7–6,Roma,5–2,2–4
